spam	num_char	line_breaks	format	number
0   	21.705  	551        	1     	small 
0   	7.011   	183        	1     	big   
1   	0.631   	28         	0     	none  
0   	2.454   	61         	0     	small 
0   	41.623  	1088       	1     	small 
0   	0.057   	5          	0     	small 
0   	0.809   	17         	0     	small 
0   	5.229   	88         	1     	small 
0   	9.277   	242        	1     	small 
0   	17.17   	578        	1     	small 
0   	64.401  	1167       	1     	small 
0   	10.368  	198        	1     	big   
1   	42.793  	712        	1     	big   
1   	0.451   	24         	0     	small 
0   	29.233  	604        	1     	small 
0   	9.794   	197        	1     	small 
0   	2.139   	60         	1     	small 
1   	0.13    	5          	0     	none  
0   	4.945   	120        	1     	small 
0   	11.533  	291        	1     	small 
0   	5.682   	87         	1     	small 
0   	6.768   	81         	1     	small 
0   	0.086   	5          	0     	none  
0   	3.07    	65         	1     	small 
0   	26.52   	692        	1     	big   
0   	26.255  	654        	1     	small 
0   	5.259   	140        	1     	small 
0   	2.78    	69         	0     	small 
0   	5.864   	142        	1     	small 
0   	9.928   	219        	1     	small 
0   	25.209  	725        	1     	small 
0   	6.563   	140        	1     	big   
0   	24.599  	621        	1     	small 
0   	25.757  	645        	1     	small 
0   	0.409   	13         	0     	small 
0   	11.223  	512        	1     	big   
0   	3.778   	98         	1     	small 
0   	1.493   	35         	0     	none  
0   	10.613  	225        	1     	big   
0   	0.493   	13         	1     	none  
0   	4.415   	61         	0     	small 
0   	14.156  	300        	1     	small 
0   	9.491   	233        	1     	small 
0   	24.837  	629        	1     	small 
0   	0.684   	17         	1     	small 
1   	13.502  	193        	0     	none  
0   	2.789   	44         	0     	small 
0   	1.169   	35         	1     	small 
0   	8.937   	211        	1     	small 
0   	15.829  	242        	1     	small 
